id,created_at,updated_at,name,quantity,price,order
1964,2023-11-15 13:58:35,2023-11-15 13:58:35,BARDI Dual Smart Plug,1,15000,1964
1963,2023-11-15 13:42:10,2023-11-15 13:42:10,BARDI Smart UNIVERSAL IR REMOTE,2,135000,1963
1962,2023-11-15 13:21:47,2023-11-15 13:21:47,Xiaomi POCO X5 Pro 5G (6GB/128GB),1,3819000,1962
1961,2023-11-06 05:46:25,2023-11-15 11:13:52,SANDISK Ultra Micro SDXC UHS 128 GB,1,178000,1961
15,2023-11-03 07:25:36,2023-11-15 11:13:53,SANDISK Ultra Micro SDXC UHS I A1 140Mbps 128GB Micro Sd Card Class 10 - QUAB,1,178000,15
14,2023-11-03 07:25:36,2023-11-15 11:13:53,SANDISK FLASHDISK 128GB / USB FLASH 128GB / SANDISK BLADE CZ50 128GB,1,124500,14
13,2023-11-03 07:25:36,2023-11-15 11:13:53,SANDISK SSD PLUS Solid 240GB SPEED UP/TO 530MB/S,1,541500,13
12,2023-11-03 07:25:36,2023-11-15 11:13:53,SANDISK Max Endurance 128GB 100MB/s MicroSDXC - 4K Ultra HD,1,541500,12
11,2023-11-03 07:25:36,2023-11-15 11:13:53,SANDISK CZ50 Cruzer Blade USB 2.0 - 8 GB,1,38500,11
10,2023-11-03 07:25:36,2023-11-15 11:13:53,ROBOT Stand Holder Laptop Portable Lipat Anti Slip Kompatibel dengan Semua Jenis Laptop dan Tablet RT-LS03 Original,1,45900,10
9,2023-11-03 07:25:36,2023-11-15 11:13:53,ROBOT TWS Wireless Earphone Airbuds T30 PLUS Original BT 5.3 Original Garansi 1 Tahun,1,134900,9
8,2023-11-03 07:25:36,2023-11-15 11:13:53,ROBOT Portable Mini Wireless Set Combo Keyboard and Mouse KM3100 Original Garansi 1 Tahun,1,151900,8
7,2023-11-03 07:25:36,2023-11-15 11:13:53,Mouse Wireless ROBOT M205 2.4G 1600DPI Receiver USB untuk PC Laptop-Garansi Resmi 1 Tahun,1,89900,7
6,2023-11-03 07:25:36,2023-11-15 11:13:53,ROBOT - Mousepad Anti Slip RP05 Gaming Polos Hitam Murah Rubber Original,1,14900,6
5,2023-11-03 07:25:36,2023-11-15 11:13:53,Erigo Jogger Pants Jessie Black,1,149000,5
4,2023-11-03 07:25:36,2023-11-15 11:13:53,Erigo Chino Pants Beryl Emerald Unisex,1,149000,4
3,2023-11-03 07:25:36,2023-11-15 11:13:52,Erigo T-Shirt Kuina Navy Unisex,1,250000,3
2,2023-11-03 07:25:36,2023-11-15 11:13:52,Erigo Coach Jacket Fujinkai Black Unisex,1,155000,2
1,2023-11-03 07:25:36,2023-11-15 11:13:52,Chino Pants Erigo,1,129000,1
21,2023-11-03 07:25:35,2023-11-15 11:13:54,GM Bear Panci Listrik Fry Pan Electric (2in1) 1692 - Panci Penggorengan Keramik Elektrik Free Steamer,1,99000,21
20,2023-11-03 07:25:35,2023-11-15 11:13:54,Teamgroup SSD TEAM MP33 256GB M.2 NVMe (1800MB/s),1,297000,20
19,2023-11-03 07:25:35,2023-11-15 11:13:54,Teamgroup Elite Plus Memory DDR4 4GB PC 2666Mhz ( 21300 ) Black,1,240000,19
18,2023-11-03 07:25:35,2023-11-15 11:13:54,TEAMGROUP SSD 2.5 GX2 128GB Grey,1,220000,18
17,2023-11-03 07:25:35,2023-11-15 11:13:54,TEAMGROUP SSD 2.5 CX2 Series 256GB Sata3,1,285000,17
16,2023-11-03 07:25:35,2023-11-15 11:13:53,TEAMGROUP SSD M2 SATA 2280 MS30 2TB ( 2000GB ),1,3020000,16
32,2023-11-03 07:25:34,2023-11-15 11:13:56,Xiaomi Redmi Buds 4 Active - Bluetooth® 5.3 IPX4 Baterai Hingga 28 Jam Koneksi Mudah,1,249000,32
31,2023-11-03 07:25:34,2023-11-15 11:13:55,Xiaomi TV A2 43 [FHD] Smart HD Dolby Audio� Android TV� Google Play Netflix Disney+,1,2790000,31
30,2023-11-03 07:25:34,2023-11-15 11:13:55,Rinnai Kompor Gas 2 Tungku RI 2 RSP / 2 RSP,1,1859300,30
29,2023-11-03 07:25:34,2023-11-15 11:13:55,Rinnai Kompor Gas 1 Tungku RI 301S / 301S,1,220900,29
28,2023-11-03 07:25:34,2023-11-15 11:13:55,Rinnai Sparepart Burner Head Tornado Kompor Seri 5/6/7,1,87100,28
27,2023-11-03 07:25:34,2023-11-15 11:13:55,Rinnai Kompor Gas 1 Tungku RI TL 289 / TL289,1,696000,27
26,2023-11-03 07:25:34,2023-11-15 11:13:55,Rinnai Kompor Gas 3 Tungku RI 524 E,1,874700,26
25,2023-11-03 07:25:34,2023-11-15 11:13:54,GM Bear Alat Pemanggang Daging Hotpot Elektrik (2 in 1) 1247 - Denki BBQ Grill Pan Steamboat Electric,1,34900,25
24,2023-11-03 07:25:34,2023-11-15 11:13:54,GM Bear Organizer Rak Multifungsi P0177 - Organizer Storage Shelves Space Efficient Drawer,1,124500,24
23,2023-11-03 07:25:34,2023-11-15 11:13:54,GM Bear Wajan 16cm 1072 - Fry Pan Penggorengan Mini,1,34900,23
22,2023-11-03 07:25:34,2023-11-15 11:13:54,GM Bear Spatula Set isi 6psc 1073 - Utensil Spatula Sutil Set,1,26010,22
41,2023-11-03 07:25:33,2023-11-15 11:13:57,Chino Pants Erigo,1,129000,41
40,2023-11-03 07:25:33,2023-11-15 11:13:56,BARDI Dual Smart Plug,1,230000,40
39,2023-11-03 07:25:33,2023-11-15 11:13:56,BARDI Bundling Smart IP Camera CCTV Outdoor PTZ + Micro SD,1,15000,39
38,2023-11-03 07:25:33,2023-11-15 11:13:56,BARDI Smart UNIVERSAL IR REMOTE 12M Wifi Wireless IoT For Home Automation,1,135000,38
37,2023-11-03 07:25:33,2023-11-15 11:13:56,BARDI Smart LIGHT BULB RGBWW 12W Wifi Wireless IoT - Home Automation (Lampu Tidur Kekinian),1,120000,37
36,2023-11-03 07:25:33,2023-11-15 11:13:56,BARDI Smart Indoor PTZ IP Camera CCTV Wifi IoT Home Automation + Micro SD,1,108000,36
35,2023-11-03 07:25:33,2023-11-15 11:13:56,"Xiaomi POCO M5 (4/64GB) | (4/128GB) Helio G99 50MP AI Triple Kamera Layar 90Hz FHD+ 6,58” 5000mAh NFC",1,1599000,35
34,2023-11-03 07:25:33,2023-11-15 11:13:56,"Xiaomi TV Box S (2nd Gen) 4K Ultra HD Streaming Media Player, Google TV Box with 2GB RAM 8GB ROM, 2.4G/5G Dual WiFi, Bluetooth 5.2 & Dolby Audio and DTS-HD, Dolby Vision, HDR10+",1,1044802,34
33,2023-11-03 07:25:33,2023-11-15 11:13:56,Xiaomi POCO X5 Pro 5G (6GB/128GB) | (8GB/256GB) Snapdragon 778G 5G 120Hz AMOLED 67W 108MP NFC,1,3819000,33
50,2023-11-03 07:25:32,2023-11-15 11:13:57,ROBOT Stand Holder Laptop Portable Lipat Anti Slip Kompatibel dengan Semua Jenis Laptop dan Tablet RT-LS03 Original,1,45900,50
49,2023-11-03 07:25:32,2023-11-15 11:13:57,ROBOT TWS Wireless Earphone Airbuds T30 PLUS Original BT 5.3 Original Garansi 1 Tahun,1,134900,49
48,2023-11-03 07:25:32,2023-11-15 11:13:57,ROBOT Portable Mini Wireless Set Combo Keyboard and Mouse KM3100 Original Garansi 1 Tahun,1,151900,48
47,2023-11-03 07:25:32,2023-11-15 11:13:57,Mouse Wireless ROBOT M205 2.4G 1600DPI Receiver USB untuk PC Laptop-Garansi Resmi 1 Tahun,1,89900,47
46,2023-11-03 07:25:32,2023-11-15 11:13:57,ROBOT - Mousepad Anti Slip RP05 Gaming Polos Hitam Murah Rubber Original,1,14900,46
45,2023-11-03 07:25:32,2023-11-15 11:13:57,Erigo Jogger Pants Jessie Black,1,149000,45
44,2023-11-03 07:25:32,2023-11-15 11:13:57,Erigo Chino Pants Beryl Emerald Unisex,1,149000,44
43,2023-11-03 07:25:32,2023-11-15 11:13:57,Erigo T-Shirt Kuina Navy Unisex,1,250000,43
42,2023-11-03 07:25:32,2023-11-15 11:13:57,Erigo Coach Jacket Fujinkai Black Unisex,1,155000,42
57,2023-11-03 07:25:31,2023-11-15 11:13:58,TEAMGROUP SSD 2.5 CX2 Series 256GB Sata3,1,285000,57
56,2023-11-03 07:25:31,2023-11-15 11:13:58,TEAMGROUP SSD M2 SATA 2280 MS30 2TB ( 2000GB ),1,3020000,56
55,2023-11-03 07:25:31,2023-11-15 11:13:58,SANDISK Ultra Micro SDXC UHS I A1 140Mbps 128GB Micro Sd Card Class 10 - QUAB,1,178000,55
54,2023-11-03 07:25:31,2023-11-15 11:13:58,SANDISK FLASHDISK 128GB / USB FLASH 128GB / SANDISK BLADE CZ50 128GB,1,124500,54
