id,created_at,updated_at,name,quantity,price,order
1961,2023-11-06 05:46:25,2023-11-06 05:46:25,Sandisk Ultra Micro SDXC UHS 128 GB,1,178000,1961
1,2023-11-03 07:25:36,2023-11-03 07:25:36,Chino Pants Erigo,1,129000,1
2,2023-11-03 07:25:36,2023-11-03 07:25:36,Erigo Coach Jacket Fujinkai Black Unisex,1,155000,2
3,2023-11-03 07:25:36,2023-11-03 07:25:36,Erigo T-Shirt Kuina Navy Unisex,1,250000,3
4,2023-11-03 07:25:36,2023-11-03 07:25:36,Erigo Chino Pants Beryl Emerald Unisex,1,149000,4
5,2023-11-03 07:25:36,2023-11-03 07:25:36,Erigo Jogger Pants Jessie Black,1,149000,5
6,2023-11-03 07:25:36,2023-11-03 07:25:36,ROBOT - Mousepad Anti Slip RP05 Gaming Polos Hitam Murah Rubber Original,1,14900,6
7,2023-11-03 07:25:36,2023-11-03 07:25:36,Mouse Wireless ROBOT M205 2.4G 1600DPI Receiver USB untuk PC Laptop-Garansi Resmi 1 Tahun,1,89900,7
8,2023-11-03 07:25:36,2023-11-03 07:25:36,ROBOT Portable Mini Wireless Set Combo Keyboard and Mouse KM3100 Original Garansi 1 Tahun,1,151900,8
9,2023-11-03 07:25:36,2023-11-03 07:25:36,Robot TWS Wireless Earphone Airbuds T30 PLUS Original BT 5.3 Original Garansi 1 Tahun,1,134900,9
10,2023-11-03 07:25:36,2023-11-03 07:25:36,ROBOT Stand Holder Laptop Portable Lipat Anti Slip Kompatibel dengan Semua Jenis Laptop dan Tablet RT-LS03 Original,1,45900,10
11,2023-11-03 07:25:36,2023-11-03 07:25:36,SanDisk CZ50 Cruzer Blade USB 2.0 - 8 GB,1,38500,11
12,2023-11-03 07:25:36,2023-11-03 07:25:36,SanDisk Max Endurance 128GB 100MB/s MicroSDXC - 4K Ultra HD,1,541500,12
13,2023-11-03 07:25:36,2023-11-03 07:25:36,SanDisk SSD PLUS Solid 240GB SPEED UP/TO 530MB/S,1,541500,13
14,2023-11-03 07:25:36,2023-11-03 07:25:36,SANDISK FLASHDISK 128GB / USB FLASH 128GB / SANDISK BLADE CZ50 128GB,1,124500,14
15,2023-11-03 07:25:36,2023-11-03 07:25:36,Sandisk Ultra Micro SDXC UHS I A1 140Mbps 128GB Micro Sd Card Class 10 - QUAB,1,178000,15
16,2023-11-03 07:25:35,2023-11-03 07:25:35,TEAMGROUP SSD M2 SATA 2280 MS30 2TB ( 2000GB ),1,3020000,16
17,2023-11-03 07:25:35,2023-11-03 07:25:35,TEAMGROUP SSD 2.5 CX2 Series 256GB Sata3,1,285000,17
18,2023-11-03 07:25:35,2023-11-03 07:25:35,TEAMGROUP SSD 2.5 GX2 128GB Grey,1,220000,18
19,2023-11-03 07:25:35,2023-11-03 07:25:35,Teamgroup Elite Plus Memory DDR4 4GB PC 2666Mhz ( 21300 ) Black,1,240000,19
20,2023-11-03 07:25:35,2023-11-03 07:25:35,Teamgroup SSD TEAM MP33 256GB M.2 NVMe (1800MB/s),1,297000,20
21,2023-11-03 07:25:35,2023-11-03 07:25:35,GM Bear Panci Listrik Fry Pan Electric (2in1) 1692 - Panci Penggorengan Keramik Elektrik Free Steamer,1,99000,21
22,2023-11-03 07:25:34,2023-11-03 07:25:34,GM Bear Spatula Set isi 6psc 1073 - Utensil Spatula Sutil Set,1,26010,22
23,2023-11-03 07:25:34,2023-11-03 07:25:34,GM Bear Wajan 16cm 1072 - Fry Pan Penggorengan Mini,1,34900,23
24,2023-11-03 07:25:34,2023-11-03 07:25:34,GM Bear Organizer Rak Multifungsi P0177 - Organizer Storage Shelves Space Efficient Drawer,1,124500,24
25,2023-11-03 07:25:34,2023-11-03 07:25:34,GM Bear Alat Pemanggang Daging Hotpot Elektrik (2 in 1) 1247 - Denki BBQ Grill Pan Steamboat Electric,1,34900,25
26,2023-11-03 07:25:34,2023-11-03 07:25:34,Rinnai Kompor Gas 3 Tungku RI 524 E,1,874700,26
27,2023-11-03 07:25:34,2023-11-03 07:25:34,Rinnai Kompor Gas 1 Tungku RI TL 289 / TL289,1,696000,27
