comment,sentiment
"Bahan sdkt strecth tebal halus bagus.. jahitan rapi, harga oke.. makasihhh",positif
"Tampilan: modelnya keren Warna: warnanya cerah, bagus Packing aman, pengiriman jg cepat, jahitannya rapih , bahannya halus dan nyaman dipakainya, terima kasih semoga tokonya makin ramai👍",positif
Barang diterima dengan baik dan ga ada yang kurang. Pengiriman termasuk cepat walaupun lagi ada promo payday. Celana nya bagus dan dapet harga murah karena lagi ada discount. Ukuran pas dan warna nya juga ga jauh beda sama difoto. Next mau coba order lagi warna lain dan please sering-sering discount,positif
"Celananya sampai dengan cepat, selamat, dan tampa cacat. Dan kainnyaaa keren nyaman banget dipake, ga ngepresss dan ga kedodoran tp pas di kaki. Dibuat jalan juga ringan dan fleksibel. Mantap dan suka! Thanks seller and shopee!🌟",positif
Tampilan: bagus Warna: keren Kualitas produk original dan harganya murah meriah dan kecepatan pengiriman sangat cepat dan respon penjual baik & warnanya keren,positif
"Yesss ... Pesanan ERIGO Chino Pants Ata Olive 38 sudah sampai, best quality, bahan halus istimewa, Original, harga discount Year End Sales, size sesuai, real pic, Recomended Seller, Thank's ERIGO - Thanks SHOPEE... Happy New Year 2021",positif
"Barangnya cepet sampai, sesuai dengan yang saya pesan, kualitas nya juga bagus, oke banget, produk kekinian, warna nya juga sesuai dengan yang saya pesan, pakingnya juga rapih banget, tidak ada yang cacat sama sekali, produk bagus harga pas buat kita - kita yg anak kaula muda ini, mantap 👍 pisann....",positif
"Good bagus warn sseseui foto... Enak dipake untuk 85kg tinggi 170 cm cukup pence beli lagi bagus kualitas baik bahan tidak panas, saya suka",positif
Product Mantap bgt untuk harga yg sangat2 kompetitif Dan ukuran 36 nya pas bgt buat Saya. Bahan juga lumayan utk harga segitu. Bakalan RO nih hehe. Thanks,positif
"Alhamdulillah sesuai pesanan, pastinya ori, kualitasnya bagus, ukuran juga pas, nyaman dipakai, pengemasan sangat rapi dan aman, pengiriman standar Buat yg BB ±53 Kg TB ±173 cm pilih ukuran 32, tpi ttp harus diukur dulu, biar celana yg dibeli pas, cara ukur celana banyak di YouTube, tinggal cari aja",positif
"MANTAPPP!! Selalu langganan di erigo, size 38 nya real, panjangnya pas utk tb 180 cm/ bb 80 kg. Bahan tebal, stretch, adem. Packing exclusive label erigo.",positif
"Celananya bagus banget, tebal dan pas ukurannya. Next order. Thanks buat erigo❣️",positif
"Erigo chino pants ata olive uk.28 bahan nya bagus halus tebal, packing nya rapih respon seller baik pengiriman nya juga ok mantap keren J&T.",positif
"Yeaaayy barangnya cepet banget sampe nya , adminya super ramah dan baik bgt , kualitasnya gak mengecewakan , gila produk lokal tp kualitasnya oke bgt , size nya pun pas banget di adek aku , pengirimannya super cepet sehari nyampe , maaciw erigo , bakal repurchase sih 🙏🙏👌👌👌👌❤",positif
"barang sesuai pesanan, dapet harga diskon spesial 3.3, bahan dan cuttingan cakep, semoga suami suka, pengiriman jg cepat. thanks erigo",positif
"Paket sudah diterima. Sesuai pesanan, bagus bgt bahannya🥺 pengemasan dan pengirimannya juga cpt bgt. Gak prnh kecewa sih sama produk erigo👍👍",positif
Kirain bakal dapat celana yg bagus bgt karena brand Erigo Bahannya tipis mudah sobek keliatan dibagian pantat udah mulai blubang Sangat disayangkan harganya lumayan mahal jatohnya klo celananya bahan biasa banget Mengecewakan,negatif
PengalaMan pertama beli super duper MENGECEWAKAN‼️ pdhl niat mau koleksi pakai merk ini tp ga jd lah beralih ke merk lain ajaah.. Pengemasan nya jg Luammaaa bangettt.. Yg 1 lg psn emerald malah dikirim hitam 😏 Deskripsi ukuran penjual dgn real pas dipakai jg ga sesuai kebesaran jauh Rrrrrrrrgh 😓,negatif
"Beli produk dengan ukuran sama tapi ukurannya beda jauh, chat penjual ribet banget suruh ngukur dulu dll, nggak semua orang punya meteran  baju ya kaka 😁 intinya nggak sesuai",negatif
Warna yg di kirim berbeda warnanya seperti warna army..  Tidak seperti di foto,negatif
"Warna ga sesuai gambar, ukuran juga agak sedikit kecil, padahal ini pemesanan ke dua, yg pertama bagus yg kedua sedikit mengecewakan",negatif
Pengiriman lambat mungkin karena banyak pengirimian dan setelah datang ukuran 28 sangat kecil. Celananya kekecilan dan sangat mubajir karena tidak terpakai. Saran saya yg ukuran 28 lebih baik pilih ukuran 30🙏,negatif
"barangnya baguus original,tapi warnanya tidak sesuai pesanan udah itu aja shh Pengiriman cepatt sampai👌",negatif
"Mall ko yang kaya gini di jual, mencong sebelah ga ngerti . tukang jahitnya ngantuk apa gmna ampe salah motong,",negatif
"Pesan warna olive dikirim coklat, order 2x ini ini yg mengecewakan tidak sesuai pesanan, sekelas Shopee mall harus nya jaga kepercayaan pembeli 😊",negatif
Baru 1x cuci berbarengan chino lain.masa ini Warna dari lutut ke bawah langsung pudar,negatif
"Atau olive? Yg dikirim coklat LOL Klo ga ada barangnya ya jngan kirim barang yg lain, contohnya ini dikasih coklat muda gtu warnanya Minta pembatalan pesanan krna salah alamat juga sulit d toko ini_-",negatif
"Jujur cuttingnya gk nyaman bngt, apalg bagian selangkangan.. Biasa ane pke size 29, ini mesen size 30 msh ngatung.. Wajarlah murah tp hrga segitu di online msh bnyak yg lebih bgus kok..  Kalo bahan sih bgus..",negatif
"Warna celana kenapa beda dengan gambar warna asli yg diterima sangat berbeda.  Digambar lebih cerah, pas ditrma jadi beda banget. Dan tidak ada tanda strip dibawah celananya.  Padahal baru pertama coba brand erigo.",negatif
Ata olive katanyam di picture erigo kaya yang ijo army datang kaya coklat kayu. Mana ukuran kekecilan lagi haduhhh gajado meeting pake barang ergio,negatif
Warna produk ga sesuai sama yg dikirim. Difoto terang pas sampe jd warna abu abu hijau,negatif
"Pengiriman LAMA, pas barang diterima malah WARNA SALAH, minta yg mocca dikirim yang hijau",negatif
