comment,sentiment
"Alhamdulillah mimin nya fast respon bgt gercep tanya"" langsung di jawab suka bgt. Sesuai bagus fiturnya banyak, seperti handphone suka tokoh nya amanah, packingnya rapi tanpa ada lecet sedikit pun. Semoga awet amin berkah selalu.",positif
"Pengiriman sangat cepat, packing super duper aman walaupun pengiriman pake instan, bubble wrap nya banyak. Seller baik, ramah, fast respon. Best seller lah pokonya.",positif
"Barang bagus dan pengiriman cepat. Sesuai dengan deskripsi. Terima kasih seller, seller nya juga sangat ramah.",positif
Fitur terbaik menurutku bagus sih. Harga juga sepadan dengan kualitasnya. Lumayan bagus untuk TV android dengan harga segitu. Terimakasih.,positif
"Alhamdulillah produk bagus, sesuai dengan deskripsi. Terima kasih seller, seller nya juga sangat ramah, kirim pake instant di kasih tau nggak perlu pake kayu lagi.",positif
"Alhamdulillah barang oke, feking juga oke. Harga sesuai. Barang oke, feking juga oke, pengiriman cepat.",positif
"Mantap gambar dan suara OK BANGET, makasih juga Buat Penjualnya Udah memberi pelayanan terbaiknya... 🙏🙏",positif
Alhamdulillah paket udah kmi terima dg selamat dan secepat kilat ...seller sangat gercep dan ramah. Tidak order buble wrap tp dibungkus dg bubble wrap. Terima kasih ya kak moga makin laris manis penuh keberkahan Aamiin,positif
Barang sesuai. Pengiriman cepat. Packing super duper aman. Direkomendasikan lah ni toko. Sukses gan.,positif
"Sepadan dengan harga murah. Fitur terbaik bagus. Gercep packing rapi aman. Terima kasih seller, semoga sukses toko ini amanah sekali puas belanja di sini Shopee mantap.",positif
Alhamdulillah barang mendarat dengan selamat & semoga awet yah...,positif
"Fitur terbaik bagus. Sepadan dengan harga bagus banget dan harga terjangkau. Packingnya rapi dan aman banget asliiii padahal pake instan, makasih 🙏",positif
Barang di terima dengan baik.. Saran memang bagus packing kayu.. biar lebih aman untuk semua. Sepadan dengan harga terjangkau.,positif
Mantul tvnya. Sepadan dengan harga kualitas terbaik. Pokoknya mantap betul dan luar biasa.,positif
"Fitur terbaik bagus. Sepadan dengan harga. Datangnya cepat, semoga awet ya 🙏🏻🙏🏻",positif
"Fitur terbaik: bisa menggunakan wifi. Sepadan dengan harga sangat bagus. Kurirnya juga cepat, barang aman sampai tujuan. Produk original dan berfungsi dengan baik. Adminnya juga fast respon. Top pokoknya.",positif
"Barang datang dalam keadaan rusak. Packing buruk, banyak lecet dan pecah.",negatif
Fitur terbaik tidak berfungsi dengan baik. Harga mahal untuk kualitas yang buruk.,negatif
Pengiriman terlambat dan kurang aman. Barang tiba dalam keadaan rusak.,negatif
Harga tidak sepadan dengan kualitas produk. Kecewa dengan barang yang diterima.,negatif
Seller tidak responsif dan kurang ramah. Pengiriman sangat lambat.,negatif
Barang tidak sesuai dengan deskripsi. Harga mahal untuk kualitas yang buruk.,negatif
Kualitas produk sangat buruk. Barang tiba dalam keadaan rusak dan tidak berfungsi.,negatif
Packing sangat buruk. Barang tiba dalam keadaan rusak dan lecet.,negatif
Pengiriman sangat lambat. Tidak ada informasi yang jelas mengenai status pengiriman.,negatif
Harga mahal dan tidak sepadan dengan kualitas produk. Kecewa dengan pembelian ini.,negatif
